"adverb_type","part1","part2","Year","Sex","Class","Role"
"other","very","good",1725,"m","Higher class","lawyer"
"other","very","ill",1730,"f","Higher class","witness"
"other","very","proper",1731,"m","Higher class","witness"
"other","very","certain",1732,"m","Higher class","victim"
"other","very","windy",1732,"m","Higher class","victim"
"other","very","dangerous",1732,"f","Higher class","witness"
"other","so","bad",1732,"f","Higher class","witness"
"other","very","strange",1732,"m","Higher class","lawyer"
"other","very","well",1732,"m","Higher class","lawyer"
"other","so","kind",1732,"m","Higher class","lawyer"
"other","too","great",1732,"m","Higher class","lawyer"
"other","more","instant",1732,"m","Higher class","lawyer"
"other","very","proper",1732,"m","Higher class","judge"
"other","very","strange",1732,"m","Higher class","judge"
"other","so","curious",1732,"m","Higher class","judge"
"other","so","fair",1732,"m","Higher class","judge"
"other","very","strange",1732,"m","Higher class","judge"
"other","very","ill",1732,"m","Higher class","judge"
"other","very","knavish",1732,"m","Higher class","judge"
"other","so","light",1732,"m","Higher class","judge"
"other","all","false",1732,"m","Higher class","judge"
"other","very","odd",1732,"m","Higher class","judge"
"other","so","dark",1732,"m","Higher class","victim"
"other","so","free",1732,"m","Higher class","defendant"
"other","very","honest",1732,"m","Higher class","witness"
"other","very","small",1732,"m","Higher class","witness"
"other","very","strange",1732,"m","Higher class","witness"
"ly ending","extremely","troublesome",1732,"f","Higher class","witness"
"other","most","tender",1732,"m","Lower class","witness"
"other","so","good",1732,"m","Lower class","witness"
"other","stark","naked",1732,"f","Lower class","witness"
"other","much","worse",1732,"f","Lower class","witness"
"other","so","bad",1732,"f","Lower class","witness"
"other","very","honest",1732,"f","Lower class","victim"
"other","too","late",1732,"f","Lower class","victim"
"other","so","pressing",1732,"m","Lower class","witness"
"other","very","dutiful",1732,"f","Lower class","witness"
"other","very","honest",1732,"m","Higher class","witness"
"other","too","hard",1732,"m","Higher class","witness"
"other","very","unlikely",1732,"m","Lower class","witness"
"other","very","glad",1732,"m","Higher class","witness"
"other","very","presumptuous",1732,"m","Higher class","witness"
"other","stark","naked",1732,"m","Higher class","witness"
"other","so","miserable",1732,"f","Lower class","victim"
"other","very","well",1732,"m","Lower class","victim"
"other","so","dark",1732,"m","Lower class","witness"
"other","very","sudden",1733,"m","Higher class","witness"
"other","very","offensive",1733,"m","Higher class","witness"
"other","very","bad",1733,"f","Higher class","witness"
"other","so","particular",1733,"m","Higher class","lawyer"
"other","very","sure",1733,"m","Higher class","judge"
"other","very","fair",1733,"m","Higher class","judge"
"other","so","bad",1733,"m","Higher class","judge"
"other","very","odd",1733,"m","Higher class","judge"
"other","very","odd",1733,"m","Higher class","judge"
"other","very","cautious",1733,"m","Higher class","judge"
"other","very","willing",1733,"m","Higher class","judge"
"other","very","decent",1733,"m","Higher class","judge"
"other","so","likely",1733,"m","Higher class","judge"
"other","so","weak",1733,"m","Higher class","judge"
"other","so","violent",1733,"m","Higher class","judge"
"other","very","strong",1733,"m","Higher class","judge"
"other","very","regular",1733,"m","Higher class","witness"
"other","very","hard",1733,"m","Higher class","witness"
"other","very","sorry",1733,"f","Higher class","witness"
"other","very","honest",1733,"f","Higher class","witness"
"other","very","honest",1733,"f","Higher class","witness"
"other","very","great",1733,"m","Higher class","witness"
"other","very","heavy",1733,"m","Higher class","victim"
"other","so","strong",1733,"m","Higher class","victim"
"other","very","dangerous",1733,"m","Higher class","victim"
"other","very","sad",1733,"m","Higher class","victim"
"other","so","close",1733,"m","Higher class","victim"
"other","quite","sober",1733,"m","Higher class","witness"
"ly ending","thoroughly","merry",1733,"m","Higher class","witness"
"other","very","like",1733,"f","Higher class","witness"
"other","very","dirty",1733,"f","Higher class","witness"
"other","very","honest",1733,"f","Higher class","witness"
"other","very","maggotly",1733,"f","Higher class","witness"
"other","very","honest",1733,"f","Higher class","person"
"other","very","civil",1733,"m","Higher class","witness"
"other","very","honest",1733,"m","Higher class","witness"
"other","very","orderly",1733,"m","Higher class","victim"
"other","so","good",1733,"f","Lower class","witness"
"other","so","weak",1733,"f","Lower class","witness"
"other","very","fair",1733,"f","Lower class","witness"
"other","too","cold",1733,"m","Lower class","witness"
"other","very","sure",1733,"m","Higher class","witness"
"other","very","good",1733,"m","Higher class","witness"
"other","more","bad",1733,"m","Higher class","witness"
"other","most","an-",1733,"m","Lower class","witness"
"other","very","intimate",1733,"m","Lower class","defendant"
"other","so","good",1733,"m","Lower class","defendant"
"other","so","drunk",1733,"m","Lower class","defendant"
"other","very","sober",1733,"m","Lower class","witness"
"other","more","large",1733,"m","Lower class","victim"
"other","very","busy",1733,"m","Lower class","witness"
"other","very","intimate",1733,"m","Lower class","victim"
"other","very","barbarous",1733,"m","Lower class","witness"
"other","so","sore",1733,"m","Lower class","witness"
"other","very","sober",1733,"m","Lower class","witness"
"other","too","heavy",1733,"m","Lower class","defendant"
"other","very","close",1733,"f","Lower class","witness"
"other","too","late",1733,"m","Lower class","witness"
"other","so","disordered",1733,"m","Lower class","defendant"
"other","so","good",1733,"m","Lower class","victim"
"ly ending","extremely","ill",1734,"m","Higher class","witness"
"other","quite","round",1734,"m","Higher class","witness"
"other","very","ill",1734,"m","Higher class","witness"
"other","very","black",1734,"m","Higher class","witness"
"other","so","large",1734,"f","Higher class","witness"
"other","very","strange",1734,"m","Higher class","judge"
"other","very","strange",1734,"m","Higher class","judge"
"other","very","unaccountable",1734,"m","Higher class","judge"
"other","very","heinous",1734,"m","Higher class","judge"
"other","so","fearful",1734,"m","Higher class","judge"
"other","so","great",1734,"m","Higher class","judge"
"other","so","drunk",1734,"m","Higher class","judge"
"other","very","ill",1734,"m","Higher class","witness"
"other","very","ill",1734,"f","Higher class","witness"
"ly ending","vastly","clean",1734,"f","Higher class","witness"
"other","so","easy",1734,"m","Higher class","witness"
"other","more","cool",1734,"m","Higher class","witness"
"other","very","friendly",1734,"f","Higher class","witness"
"other","very","honest",1734,"m","Higher class","witness"
"other","very","good",1734,"m","Higher class","witness"
"other","so","positive",1734,"m","Higher class","victim"
"other","very","sorry",1734,"m","Lower class","defendant"
"other","so","outrageous",1734,"m","Higher class","witness"
"other","very","sure",1734,"m","Higher class","witness"
"other","very","heedless",1734,"m","Lower class","victim"
"other","too","late",1734,"m","Lower class","witness"
"other","so","angry",1734,"m","Lower class","witness"
"other","so","ill",1734,"m","Lower class","victim"
"other","so","tender",1735,"m","Higher class","witness"
"other","much","finer",1735,"m","Higher class","lawyer"
"other","very","expensive",1735,"m","Higher class","lawyer"
"other","so","light",1735,"m","Higher class","judge"
"other","very","particular",1735,"m","Higher class","judge"
"other","so","drunk",1735,"f","Higher class","witness"
"other","very","wet",1735,"m","Higher class","witness"
"other","very","honest",1735,"m","Higher class","witness"
"other","very","hard",1735,"m","Higher class","victim"
"other","very","civil",1735,"m","Higher class","witness"
"other","very","honest",1735,"m","Higher class","witness"
"other","very","faithfull",1735,"m","Higher class","witness"
"other","very","good",1735,"f","Higher class","witness"
"other","very","rude",1735,"f","Higher class","witness"
"other","very","sure",1735,"f","Higher class","witness"
"other","very","full",1735,"m","Higher class","victim"
"other","very","perverse",1735,"m","Lower class","defendant"
"other","very","uneasy",1735,"f","Lower class","witness"
"other","quite","drunk",1735,"m","Lower class","witness"
"other","very","good",1735,"f","Lower class","witness"
"other","very","opprobious",1735,"m","Higher class","witness"
"other","very","dry",1735,"m","Lower class","victim"
"other","very","uneasy",1735,"m","Lower class","defendant"
"other","so","mighty",1735,"m","Lower class","victim"
"other","very","good",1735,"m","Lower class","victim"
"other","very","true",1735,"m","Lower class","witness"
"other","so","poor",1735,"m","Lower class","defendant"
"other","very","unfit",1736,"m","Higher class","witness"
"other","so","kind",1736,"m","Higher class","lawyer"
"other","too","licentious",1736,"m","Higher class","lawyer"
"ly ending","perfectly","sober",1736,"m","Higher class","judge"
"other","very","faulty",1736,"m","Higher class","judge"
"other","very","cautious",1736,"m","Higher class","judge"
"other","most","proper",1736,"m","Higher class","judge"
"other","very","light",1736,"m","Higher class","judge"
"other","more","sure",1736,"m","Higher class","judge"
"other","very","glad",1736,"f","Higher class","victim"
"other","very","remarkable",1736,"f","Higher class","victim"
"other","too","late",1736,"m","Higher class","witness"
"other","very","good",1736,"f","Lower class","witness"
"other","very","kind",1736,"f","Lower class","defendant"
"other","very","plain",1736,"m","Lower class","witness"
"other","very","heavy",1736,"f","Lower class","witness"
"other","very","good",1736,"f","Lower class","witness"
"other","very","unhandsome",1736,"m","Higher class","witness"
"other","very","unhandsome",1736,"m","Higher class","witness"
"other","very","troublesome",1736,"m","Higher class","witness"
"other","very","sorry",1736,"m","Higher class","witness"
"other","so","sure",1736,"m","Lower class","witness"
"other","very","good",1736,"m","Lower class","witness"
"other","very","slender",1736,"m","Higher class","witness"
"other","very","honest",1736,"m","Lower class","witness"
"other","very","unwell",1736,"m","Lower class","witness"
"other","so","mean",1736,"m","Lower class","defendant"
"other","so","well",1737,"m","Higher class","witness"
"other","so","good",1737,"m","Higher class","witness"
"other","very","particular",1737,"m","Higher class","witness"
"other","very","uneasy",1737,"f","Higher class","witness"
"ly ending","entirely","consistent",1737,"m","Higher class","witness"
"other","very","long",1737,"m","Higher class","lawyer"
"other","very","bad",1737,"m","Higher class","lawyer"
"other","most","inveterate",1737,"m","Higher class","lawyer"
"other","very","ill",1737,"m","Higher class","lawyer"
"other","very","vile",1737,"m","Higher class","lawyer"
"ly ending","absolutely","necessary",1737,"m","Higher class","lawyer"
"other","so","light",1737,"m","Higher class","lawyer"
"other","so","great",1737,"m","Higher class","lawyer"
"other","very","bad",1737,"m","Higher class","lawyer"
"other","very","plausible",1737,"m","Higher class","lawyer"
"other","so","odd",1737,"m","Higher class","lawyer"
"other","very","wicked",1737,"m","Higher class","lawyer"
"other","very","scandalous",1737,"m","Higher class","lawyer"
"other","so","Particular",1737,"m","Higher class","lawyer"
"other","so","Cruel",1737,"m","Higher class","judge"
"other","most","material",1737,"m","Higher class","judge"
"other","so","abrupt",1737,"m","Higher class","judge"
"other","so","loud",1737,"m","Higher class","judge"
"other","very","violent",1737,"m","Higher class","victim"
"other","very","near",1737,"m","Higher class","victim"
"other","very","considerable",1737,"m","Higher class","victim"
"other","very","good",1737,"f","Higher class","witness"
"other","so","full",1737,"m","Higher class","witness"
"other","very","proper",1737,"f","Higher class","witness"
"other","very","difficult",1737,"f","Higher class","victim"
"other","very","familiar",1737,"m","Higher class","witness"
"other","very","sad",1737,"f","Lower class","defendant"
"other","very","troublesome",1737,"f","Lower class","defendant"
"other","so","hard",1737,"f","Lower class","victim"
"other","too","great",1737,"m","Lower class","witness"
"other","very","bad",1737,"m","Higher class","witness"
"other","very","honest",1737,"m","Higher class","witness"
"other","very","capable",1737,"m","Lower class","defendant"
"other","very","bad",1737,"m","Lower class","witness"
"other","very","ill",1737,"m","Lower class","witness"
"other","very","disorderly",1737,"m","Lower class","victim"
"other","so","cruel",1737,"m","Lower class","victim"
"other","so","good",1737,"m","Lower class","defendant"
"other","more","apprehensive",1737,"m","Lower class","defendant"
"other","so","violent",1738,"m","Higher class","witness"
"other","more","impudent",1738,"m","Higher class","witness"
"other","very","plain",1738,"m","Higher class","lawyer"
"other","too","late",1738,"m","Higher class","lawyer"
"other","so","old",1738,"m","Higher class","victim"
"other","too","big",1738,"m","Higher class","victim"
"other","too","long",1738,"m","Higher class","victim"
"other","more","light",1738,"m","Higher class","victim"
"other","too","light",1738,"m","Higher class","witness"
"other","very","wicked",1738,"m","Higher class","witness"
"other","very","honest",1738,"f","Higher class","witness"
"ly ending","mighty","familiar",1738,"m","Higher class","victim"
"other","more","familiar",1738,"m","Higher class","victim"
"other","very","sober",1738,"m","Higher class","victim"
"other","very","honest",1738,"m","Higher class","witness"
"other","very","rude",1738,"f","Lower class","witness"
"other","very","pale",1738,"m","Lower class","victim"
"other","very","full-headed",1738,"m","Lower class","victim"
"other","most","notorious",1738,"m","Higher class","witness"
"other","very","desirous",1738,"m","Higher class","witness"
"other","very","honest",1738,"m","Lower class","witness"
"other","very","proper",1738,"m","Higher class","witness"
"other","very","honest",1738,"m","Higher class","witness"
"other","so","vile",1738,"f","Lower class","witness"
"ly ending","heartily","sorry",1738,"f","Lower class","witness"
"other","very","vile",1738,"m","Higher class","witness"
"other","so","mild",1738,"m","Lower class","witness"
"other","so","desperate",1738,"m","Lower class","witness"
"other","very","dirty",1738,"m","Lower class","victim"
"other","very","impudent",1738,"m","Lower class","witness"
"other","too","light",1738,"m","Lower class","witness"
"other","very","strange",1738,"m","Lower class","witness"
"other","very","great",1738,"m","Lower class","defendant"
"other","too","large",1739,"m","Higher class","witness"
"other","so","great",1739,"m","Higher class","witness"
"other","so","convinced",1739,"m","Higher class","witness"
"other","very","morbid",1739,"m","Higher class","witness"
"other","very","black",1739,"m","Higher class","witness"
"other","so","great",1739,"m","Higher class","witness"
"ly ending","greatly","disordered",1739,"m","Higher class","witness"
"other","very","fresh",1739,"f","Higher class","witness"
"other","very","ill",1739,"m","Higher class","lawyer"
"other","very","honest",1739,"m","Lower class","witness"
"other","so","proper",1739,"m","Lower class","witness"
"other","very","ill",1739,"f","Higher class","victim"
"other","very","cold",1739,"f","Higher class","victim"
"other","so","weak",1739,"f","Higher class","victim"
"other","quite","dead",1739,"m","Higher class","witness"
"other","very","dark",1739,"m","Higher class","victim"
"other","very","cold",1739,"m","Higher class","witness"
"other","very","cold",1739,"m","Higher class","witness"
"other","very","good",1739,"m","Higher class","witness"
"other","very","bad",1739,"m","Higher class","witness"
"other","very","weak",1739,"m","Lower class","witness"
"other","so","heavy",1739,"m","Lower class","witness"
"other","too","positive",1739,"m","Lower class","witness"
"other","very","good",1739,"m","Lower class","witness"
"other","very","ill",1739,"m","Lower class","witness"
"other","very","high",1739,"m","Higher class","witness"
"other","so","high",1739,"m","Higher class","witness"
"other","so","fuddled",1739,"m","Higher class","witness"
"other","so","soft",1739,"m","Higher class","victim"
"other","very","sorry",1739,"m","Higher class","victim"
"other","too","honourable",1739,"m","Lower class","witness"
"other","very","complaisant",1739,"m","Lower class","victim"
"other","so","high",1739,"m","Lower class","victim"
"other","so","high",1739,"m","Lower class","victim"
"other","so","fine",1739,"m","Lower class","victim"
"other","very","poor",1739,"m","Lower class","witness"
"other","very","indifferent",1739,"m","Lower class","witness"
"other","very","uneasy",1739,"m","Lower class","witness"
"other","so","tall",1739,"m","Lower class","witness"
"other","so","good",1739,"m","Lower class","witness"
"other","very","fond",1739,"m","Lower class","witness"
"other","very","hard",1740,"m","Higher class","witness"
"other","more","careful",1740,"m","Higher class","victim"
"other","very","proper",1740,"m","Higher class","lawyer"
"other","most","ready",1740,"m","Higher class","lawyer"
"other","very","good",1740,"m","Higher class","lawyer"
"other","so","imprudent",1740,"m","Higher class","witness"
"other","very","glad",1740,"m","Higher class","witness"
"other","very","hearty",1740,"m","Higher class","witness"
"other","very","good",1740,"m","Higher class","victim"
"other","quite","sure",1740,"m","Higher class","victim"
"other","very","uneasy",1740,"m","Higher class","witness"
"other","very","thin",1740,"m","Lower class","victim"
"other","so","ill",1740,"m","Higher class","witness"
"other","most","deplorable",1740,"m","Higher class","witness"
"other","so","desperate",1740,"m","Higher class","witness"
"other","very","insolent",1740,"m","Higher class","witness"
"other","very","heavy",1740,"m","Higher class","witness"
"other","very","mean",1740,"m","Lower class","victim"
"other","very","rare",1740,"m","Lower class","victim"
"ly ending","thoroughly","awake",1740,"m","Lower class","witness"
"other","very","bad",1740,"m","Lower class","witness"
"other","very","litigious",1740,"m","Lower class","witness"
"other","very","bad",1740,"m","Lower class","witness"
"other","very","bad",1740,"m","Lower class","witness"
"other","very","bad",1740,"m","Lower class","witness"
"other","very","good",1740,"m","Lower class","witness"
"other","so","light",1740,"m","Lower class","witness"
"ly ending","perfectly","sensible",1741,"m","Higher class","witness"
"other","very","sturdy",1741,"m","Higher class","witness"
"other","very","bad",1741,"m","Higher class","witness"
"other","so","exact",1741,"m","Higher class","judge"
"other","very","rude",1741,"f","Higher class","witness"
"other","very","bloody",1741,"m","Higher class","witness"
"other","very","indifferent",1741,"m","Higher class","witness"
"other","very","common",1742,"m","Higher class","witness"
"other","so","great",1742,"m","Higher class","witness"
"other","much","worse",1742,"m","Higher class","witness"
"other","so","violent",1742,"m","Higher class","witness"
"other","so","great",1742,"m","Higher class","witness"
"other","more","particular",1742,"m","Higher class","witness"
"other","so","curious",1742,"m","Higher class","witness"
"other","so","plain",1742,"m","Higher class","witness"
"other","more","careful",1742,"m","Higher class","witness"
"other","very","slow",1742,"m","Higher class","witness"
"other","quite","black",1742,"m","Higher class","witness"
"ly ending","thoroughly","satisfied",1742,"m","Higher class","witness"
"other","very","soft",1742,"m","Higher class","lawyer"
"other","so","bad",1742,"m","Higher class","lawyer"
"other","very","good",1742,"m","Higher class","lawyer"
"other","most","unfortunate",1742,"m","Higher class","lawyer"
"ly ending","strictly","legal",1742,"m","Higher class","lawyer"
"other","most","beneficial",1742,"m","Higher class","lawyer"
"other","very","antient",1742,"m","Higher class","lawyer"
"other","so","salutary",1742,"m","Higher class","lawyer"
"other","so","guilty",1742,"m","Higher class","lawyer"
"other","too","black",1742,"m","Higher class","lawyer"
"other","too","full",1742,"m","Higher class","lawyer"
"other","too","hard",1742,"m","Higher class","lawyer"
"other","very","different",1742,"m","Higher class","lawyer"
"other","very","unhappy",1742,"m","Higher class","judge"
"other","very","small",1742,"m","Higher class","judge"
"other","too","severe",1742,"m","Higher class","judge"
"ly ending","perfectly","lawful",1742,"m","Higher class","judge"
"other","so","hot",1742,"m","Higher class","judge"
"other","so","favourable",1742,"m","Higher class","judge"
"other","so","certain",1742,"m","Higher class","witness"
"other","very","ill",1742,"m","Higher class","witness"
"other","so","quick",1742,"m","Higher class","victim"
"other","very","unseemly",1742,"f","Higher class","witness"
"other","very","honest",1742,"m","Higher class","witness"
"other","very","great",1742,"m","Lower class","witness"
"other","very","sorry",1742,"m","Lower class","witness"
"other","very","great",1742,"f","Lower class","witness"
"other","so","barbarous",1742,"f","Lower class","witness"
"other","so","barbarous",1742,"f","Lower class","witness"
"other","so","barbarous",1742,"f","Lower class","witness"
"other","so","good",1742,"f","Lower class","witness"
"other","very","great",1742,"m","Lower class","witness"
"other","very","ill",1742,"m","Higher class","witness"
"other","quite","dead",1742,"m","Higher class","witness"
"other","very","busy",1742,"m","Higher class","witness"
"other","very","remarkable",1742,"m","Higher class","witness"
"other","very","Key",1742,"m","Higher class","witness"
"other","so","full",1742,"m","Higher class","witness"
"other","very","civil",1742,"m","Higher class","witness"
"other","very","baddish",1742,"m","Lower class","witness"
"other","very","careful",1742,"m","Lower class","witness"
"other","very","irregular",1742,"m","Lower class","witness"
"other","very","particular",1742,"m","Lower class","victim"
"other","so","unbecoming",1742,"m","Lower class","defendant"
"other","very","unable",1742,"m","Lower class","defendant"
"other","more","afraid",1742,"m","Lower class","defendant"
"other","very","unhappy",1742,"m","Lower class","defendant"
"other","so","unhappy",1742,"m","Lower class","defendant"
"other","very","odd",1742,"m","Lower class","defendant"
"other","very","short",1743,"m","Higher class","victim"
"ly ending","extremely","low",1743,"m","Higher class","witness"
"other","very","bad",1743,"m","Higher class","witness"
"other","very","common",1743,"m","Higher class","witness"
"other","very","positive",1743,"f","Higher class","witness"
"other","so","violent",1743,"f","Higher class","witness"
"other","very","great",1743,"m","Higher class","lawyer"
"other","very","true",1743,"m","Higher class","lawyer"
"other","very","good",1743,"m","Higher class","lawyer"
"other","so","common",1743,"m","Higher class","lawyer"
"other","very","clear",1743,"m","Higher class","lawyer"
"other","so","offending",1743,"m","Higher class","lawyer"
"other","so","unfortunate",1743,"m","Higher class","lawyer"
"ly ending","expressly","liable",1743,"m","Higher class","lawyer"
"other","most","material",1743,"m","Higher class","lawyer"
"other","very","plain",1743,"m","Higher class","lawyer"
"other","too","dangerous",1743,"m","Higher class","lawyer"
"other","quite","unnecessary",1743,"m","Higher class","lawyer"
"other","very","ready",1743,"m","Higher class","lawyer"
"other","so","great",1743,"m","Higher class","lawyer"
"other","very","plain",1743,"m","Higher class","lawyer"
"other","very","big",1743,"m","Higher class","lawyer"
"other","very","hard",1743,"m","Higher class","lawyer"
"other","very","odd",1743,"m","Higher class","lawyer"
"other","very","drunk",1743,"m","Higher class","judge"
"other","too","dear",1743,"f","Higher class","victim"
"other","most","fair",1743,"m","Higher class","witness"
"other","too","big",1743,"f","Higher class","witness"
"other","very","ready",1743,"m","Higher class","witness"
"other","so","ungenerous",1743,"m","Higher class","witness"
"other","too","big",1743,"m","Higher class","witness"
"other","very","good",1743,"m","Higher class","witness"
"other","very","low",1743,"m","Higher class","witness"
"other","very","barbarous",1743,"f","Higher class","witness"
"other","very","ill",1743,"f","Higher class","witness"
"other","very","honest",1743,"m","Higher class","witness"
"other","very","safe",1743,"f","Lower class","witness"
"other","very","abusive",1743,"m","Higher class","witness"
"other","very","unwilling",1743,"m","Higher class","witness"
"other","very","great",1743,"m","Higher class","witness"
"other","very","malicious",1743,"m","Higher class","witness"
"other","very","sober",1743,"m","Higher class","witness"
"other","very","easy",1743,"m","Higher class","witness"
"other","very","disorderly",1743,"m","Higher class","witness"
"other","so","narrow",1743,"m","Higher class","witness"
"other","very","indifferent",1743,"m","Higher class","witness"
"other","very","ragged",1743,"m","Higher class","witness"
"other","very","honest",1743,"m","Lower class","witness"
"other","quite","false",1743,"m","Lower class","defendant"
"other","very","heavy",1743,"m","Lower class","witness"
"other","so","nasty",1743,"f","Lower class","witness"
"other","quite","emaciated",1744,"m","Higher class","witness"
"other","very","rare",1744,"m","Higher class","witness"
"other","so","late",1744,"m","Higher class","lawyer"
"other","more","corroborating",1744,"m","Higher class","witness"
"other","very","ordinary",1744,"m","Higher class","witness"
"other","very","odd",1744,"m","Higher class","witness"
"other","very","vile",1744,"m","Higher class","witness"
"other","very","positive",1744,"m","Lower class","victim"
"other","very","bloody",1744,"m","Lower class","victim"
"other","most","probable",1745,"m","Higher class","witness"
"other","very","large",1745,"m","Higher class","witness"
"other","well","satisfied",1745,"m","Higher class","witness"
"other","very","neat",1745,"m","Higher class","witness"
"other","very","dirty",1745,"m","Higher class","lawyer"
"other","very","good",1745,"m","Higher class","lawyer"
"other","quite","sober",1745,"m","Higher class","lawyer"
"other","very","fair",1745,"m","Higher class","lawyer"
"other","very","odd",1745,"m","Higher class","lawyer"
"other","very","san[iliarly]",1745,"m","Higher class","judge"
"other","very","unwilling",1745,"m","Higher class","judge"
"other","very","sober",1745,"m","Higher class","judge"
"other","very","penitent",1745,"m","Higher class","judge"
"other","very","great",1745,"m","Higher class","witness"
"other","so","bad",1745,"m","Higher class","witness"
"other","very","odd",1745,"m","Higher class","witness"
"other","very","remarkable",1745,"m","Higher class","witness"
"other","very","creditable",1745,"m","Higher class","victim"
"other","very","temperate",1745,"m","Higher class","witness"
"other","very","honest",1745,"m","Higher class","witness"
"other","very","honest",1745,"m","Lower class","witness"
"other","very","great",1745,"m","Higher class","witness"
"other","very","pretty",1745,"m","Higher class","witness"
"other","very","small",1745,"m","Higher class","witness"
"other","very","good",1745,"m","Higher class","witness"
"other","very","bad",1745,"m","Higher class","witness"
"other","so","unkind",1745,"m","Higher class","witness"
"other","very","resolute",1745,"m","Higher class","witness"
"other","very","willing",1745,"m","Higher class","witness"
"other","very","hard",1745,"m","Higher class","witness"
"other","very","positive",1745,"m","Higher class","witness"
"other","very","honest",1745,"m","Lower class","witness"
"other","very","thin",1745,"m","Lower class","victim"
"other","quite","hot",1745,"m","Lower class","defendant"
"other","quite","tired",1745,"m","Lower class","defendant"
"other","very","plain",1745,"m","Lower class","victim"
"other","so","satisfactory",1746,"m","Higher class","lawyer"
"other","very","proper",1746,"m","Higher class","lawyer"
"ly ending","extremely","odd",1746,"m","Higher class","lawyer"
"other","most","sober",1746,"m","Higher class","lawyer"
"other","very","sober",1746,"m","Higher class","lawyer"
"other","quite","contented",1746,"m","Higher class","lawyer"
"other","so","particular",1746,"m","Higher class","lawyer"
"ly ending","extremely","necessary",1746,"m","Higher class","lawyer"
"other","so","dark",1746,"m","Higher class","lawyer"
"other","so","smooth",1746,"m","Higher class","lawyer"
"other","wide","open",1746,"m","Higher class","judge"
"other","so","loose",1746,"m","Higher class","judge"
"other","very","severe",1746,"m","Higher class","judge"
"other","very","mean",1746,"m","Higher class","judge"
"other","very","apt",1746,"m","Higher class","judge"
"other","very","dishonest",1746,"m","Higher class","judge"
"other","so","great",1746,"m","Higher class","judge"
"other","so","small",1746,"m","Higher class","judge"
"other","very","kind",1746,"m","Higher class","judge"
"other","more","guilty",1746,"m","Higher class","judge"
"other","very","odd",1746,"m","Higher class","judge"
"other","very","uncautious",1746,"m","Higher class","judge"
"other","very","bad",1746,"m","Higher class","judge"
"other","so","cold",1746,"m","Higher class","witness"
"other","very","white",1746,"m","Higher class","witness"
"other","so","good",1746,"f","Higher class","witness"
"other","very","lusty",1746,"m","Higher class","victim"
"other","very","good",1746,"m","Higher class","witness"
"other","very","sober",1746,"m","Lower class","witness"
"other","very","sober",1746,"m","Lower class","witness"
"other","very","heinous",1746,"m","Lower class","witness"
"other","very","dirty",1747,"m","Higher class","lawyer"
"other","very","high",1747,"m","Higher class","lawyer"
"other","very","prejudicial",1747,"m","Higher class","lawyer"
"other","so","assembled",1747,"m","Higher class","lawyer"
"other","too","careful",1747,"m","Higher class","lawyer"
"other","very","great",1747,"m","Higher class","lawyer"
"other","so","pernicious",1747,"m","Higher class","lawyer"
"ly ending","absolutely","necessary",1747,"m","Higher class","lawyer"
"other","so","offending",1747,"m","Higher class","lawyer"
"other","more","easy",1747,"m","Higher class","lawyer"
"other","so","offending",1747,"m","Higher class","lawyer"
"other","most","desperate",1747,"m","Higher class","lawyer"
"other","most","desperate",1747,"m","Higher class","lawyer"
"ly ending","absolutely","necessary",1747,"m","Higher class","lawyer"
"other","so","probable",1747,"m","Higher class","lawyer"
"other","most","likely",1747,"m","Higher class","lawyer"
"other","very","bad",1747,"m","Higher class","lawyer"
"ly ending","extremely","easy",1747,"m","Higher class","lawyer"
"other","most","plain",1747,"m","Higher class","lawyer"
"other","so","publick",1747,"m","Higher class","lawyer"
"ly ending","extremely","concerned",1747,"m","Higher class","lawyer"
"other","very","severe",1747,"m","Higher class","lawyer"
"other","so","particular",1747,"m","Higher class","lawyer"
"other","very","exact",1747,"m","Higher class","lawyer"
"other","very","sure",1747,"m","Higher class","lawyer"
"other","so","positive",1747,"m","Higher class","lawyer"
"other","more","certain",1747,"m","Higher class","lawyer"
"other","so","imported",1747,"m","Higher class","lawyer"
"other","very","high",1747,"m","Higher class","lawyer"
"other","very","great",1747,"m","Higher class","lawyer"
"ly ending","extremely","difficult",1747,"m","Higher class","lawyer"
"other","very","loth",1747,"m","Higher class","lawyer"
"other","so","great",1747,"m","Higher class","lawyer"
"other","very","welcome",1747,"m","Higher class","lawyer"
"other","very","uncommon",1747,"m","Higher class","lawyer"
"other","very","inhuman",1747,"m","Higher class","lawyer"
"other","most","hardened",1747,"m","Higher class","lawyer"
"other","very","frequent",1747,"m","Higher class","lawyer"
"other","very","short",1747,"m","Higher class","lawyer"
"other","very","doubtful",1747,"m","Higher class","lawyer"
"other","very","notorious",1747,"m","Higher class","judge"
"other","so","extensive",1747,"m","Higher class","judge"
"other","too","big",1747,"m","Higher class","judge"
"other","so","notorious",1747,"m","Higher class","judge"
"other","very","odd",1747,"m","Higher class","judge"
"other","very","sure",1747,"m","Higher class","judge"
"other","very","good",1747,"m","Higher class","judge"
"other","so","bad",1747,"m","Higher class","judge"
"other","very","honest",1747,"m","Higher class","judge"
"other","very","material",1747,"m","Higher class","judge"
"other","too","small",1747,"m","Higher class","judge"
"other","so","particular",1747,"m","Higher class","judge"
"other","so","barbarous",1747,"m","Higher class","judge"
"other","very","fond",1747,"m","Higher class","judge"
"other","very","free",1747,"m","Higher class","judge"
